geo,name,gdp_pcap_pp_1950,gdp_pcap_pp_1955,gdp_pcap_pp_1960,gdp_pcap_pp_1965,gdp_pcap_pp_1970,gdp_pcap_pp_1975,gdp_pcap_pp_1980,gdp_pcap_pp_1985,gdp_pcap_pp_1990,gdp_pcap_pp_1995,gdp_pcap_pp_2000,gdp_pcap_pp_2005,gdp_pcap_pp_2010,gdp_pcap_pp_2015,gdp_pcap_pp_2020,gdp_pcap_pp_2025
AFG,Afghanistan,1728.97632,2009.69896,2277.64036,2359.7174,2477.91301,2228.08567,2251.28484,3068.05058,2412.90304,1689.0634,1426.50934,1855.22812,2848.58606,2967.69207,2769.68575,2092.54588
AGO,Angola,2490.89782,2866.63152,3299.10986,4432.34698,5177.92272,4130.95715,3728.6418,4028.06224,4974.52806,4176.13396,5352.49132,7592.30709,9672.83922,9980.92988,7556.96793,7457.17479
ALB,Albania,2169.30253,2395.99947,2898.16273,3292.5959,3876.52082,4248.82637,4416.59612,5161.52412,5490.45562,5095.58379,6558.42258,8977.57267,11828.37497,13156.33221,14662.79552,20361.79277
AND,Andorra,9702.54131,14615.97003,22016.56207,33160.26538,49938.69251,52278.05928,50134.87077,44393.44628,46235.61393,42152.12008,52814.6954,64175.8719,58285.05778,62105.15424,55488.4903,67385.01529
ARE,UAE,1839.0299,2018.7888,3066.57278,15351.70704,77424.23701,74397.16075,86120.31136,73827.44139,74726.8204,83835.62829,88047.22698,89813.8553,68799.93085,70234.73175,65784.67694,72660.14487
ARG,Argentina,10447.64488,10859.99542,11545.68452,12916.76444,14600.20015,15710.97534,15887.01022,15347.53371,15986.19359,20052.88124,21810.83619,23052.59,28056.25702,28669.20613,23877.09314,28467.05855
ARM,Armenia,4747.14916,5571.9747,6664.54908,7585.01784,8805.06468,8890.36899,8111.70862,8680.52873,7590.79331,3950.03629,4860.71825,8511.01241,10438.56419,13112.76009,15052.93598,21539.01147
ATG,Antigua and Barbuda,4270.78131,4621.3325,5000.94471,5675.52208,6431.98775,7466.27538,8642.1755,13664.53219,21696.89565,22043.3636,25853.23485,27830.44701,25826.60864,25734.15164,23930.6715,30870.84372
AUS,Australia,14958.37583,15796.24131,16711.75944,18628.36629,21583.35614,22732.48554,24128.36428,29895.88309,36304.91547,39087.28166,45546.30419,50323.82948,52589.81821,55691.69885,57059.74364,61942.61476
AUT,Austria,7704.5208,10303.01567,13101.66148,15303.73699,19019.11271,22384.13982,26039.61845,32424.94522,41070.5472,45065.66395,52517.46107,56453.61958,59803.37263,61025.99945,60349.90228,64665.01876
AZE,Azerbaijan,4124.17598,4940.42419,6044.16273,7261.71523,8932.64215,9899.01076,10058.45117,12089.217490000001,10510.32985,4166.54567,5652.91901,10056.51613,19925.3901,20678.75396,19126.09685,23177.53343
BDI,Burundi,737.98584,805.64367,844.3823,785.82193,969.33498,917.35684,975.87089,1238.92647,1425.29552,1155.95167,988.06467,937.35638,947.62142,918.55719,833.92026,848.37448
BEL,Belgium,11122.63378,12523.94384,13587.61433,16388.84663,19910.4411,22878.96868,25986.23388,31278.09864,40148.03257,43182.34357,49661.30813,53931.0984,56265.01535,57534.39661,57358.83703,65096.12262
