geo,name,life_exp_1950,life_exp_1955,life_exp_1960,life_exp_1965,life_exp_1970,life_exp_1975,life_exp_1980,life_exp_1985,life_exp_1990,life_exp_1995,life_exp_2000,life_exp_2005,life_exp_2010,life_exp_2015,life_exp_2020,life_exp_2025
AFG,Afghanistan,42.72,43.88,45.03,46.13,47.08,47.55,43.68,42.03,53.83,54.33,54.73,57.63,60.46,61.91,62.34,65.11
AGO,Angola,45.57,45.54,46.25,45.58,46.57,47.46,48.13,48.56,49.67,51.16,52.78,56.35,60.21,63.52,64.88,66.3
ALB,Albania,52.21,56.27,62.55,64.79,67.79,70.19,71.25,71.89,72.76,74.61,75.39,76.2,78.13,78.14,76.23,79.67
AND,Andorra,74.62,75.21,75.74,76.3,76.97,77.7,78.34,78.71,79.03,79.75,80.76,81.4,81.85,82.01,78.25,83.19
ARE,UAE,58.41,58.86,60.34,62.59,64.04,65.99,67.62,68.47,68.66,68.81,69.11,69.24,70.77,73.18,73.18,74.94
ARG,Argentina,63.3,64.51,65.26,66.13,66.13,68.03,70.23,71.73,72.47,73.44,74.22,75.28,75.94,76.5,75.2,77.6
ARM,Armenia,48.23,53.28,59.22,63.59,65.86,68.23,70.2,71.27,70.58,70.08,72.38,73.05,73.91,75.11,72.45,76.87
ATG,Antigua and Barbuda,58.13,60.93,63.83,66.73,68.32,70.23,72.09,73.77,74.04,73.26,74.83,75.9,75.92,75.97,76.43,77.34
AUS,Australia,69.4,70.34,71.11,71.1,71.15,72.51,74.51,75.59,77,78.29,79.72,81.24,82.12,82.73,84.11,83.79
AUT,Austria,64.8,67.68,68.96,70.09,70.21,71.44,72.84,74.26,75.97,77.03,78.49,79.75,80.79,81.57,81.76,83.17
AZE,Azerbaijan,37.79,42.22,48.6,55.57,59.88,64.32,66.24,66.93,66.87,64.69,66.55,67.31,68.98,70.15,64.94,71.73
BDI,Burundi,40.2,41.87,43.92,45.31,45.96,47.19,48.49,49.33,48.72,43.35,44.69,50.3,58.55,61.75,63.03,64.95
BEL,Belgium,66.62,68.8,70.07,70.76,71.1,72.15,73.33,74.61,76.15,77.01,78.04,79.32,80.23,81.09,80.37,82.33
BEN,Benin,43.61,44.1,44.78,46.76,48.54,50.76,52.71,53.94,55.73,56.89,57.39,58.81,61.1,62.64,64.1,65.71
BFA,Burkina Faso,36.06,37.72,39.54,41.95,44.06,46.04,48.64,50.64,50.67,50.66,52.48,55.3,57.94,59.9,61.36,62.97
BGD,Bangladesh,39.67,41.87,43.82,45.87,42.2,50.62,53.22,53.75,58.19,62.24,65.47,67.44,70.04,73.59,73.7,76.33
BGR,Bulgaria,61.04,64.92,69.39,71.52,71.47,71.26,71.22,70.36,70.08,69.42,70.16,71.12,72.34,73.24,71.96,74.33
BHR,Bahrain,50.74,53.41,57.27,60.86,64.18,66.84,68.36,69.43,69.53,70.55,71.68,72.66,74.96,76.75,76.22,77.98
BHS,Bahamas,58.05,60.03,61.93,63.28,65.4,68.21,68.62,70.21,70.86,70.77,71.25,73.18,73.24,73.35,74.88,77.04
BIH,Bosnia and Herzegovina,51.06,55.53,61.27,64.15,65.92,68.31,69.74,71.42,73.21,66.2,75.46,75.29,76.31,76.47,75.95,77.91
BLR,Belarus,68.2,69.35,71.03,72.61,72.13,71.88,71.04,71.06,71.31,68.68,69.03,68.85,70.61,73.66,72.32,75.21
BLZ,Belize,55.45,58.84,63.93,66.43,67.51,69.56,70.87,72.08,72.79,72.9,69.98,72.43,73.58,74.19,73.37,75.49
BOL,Bolivia,36.42,40.53,43,46.17,50.09,53.66,56.76,59.14,61.69,64.02,66.53,68.97,70.3,71.3,68.43,73.47
BRA,Brazil,47.57,49.94,52.44,54.83,56.94,59.78,62.74,64.61,67.29,69.17,71.18,72.81,73.85,75.03,74.51,77.09
BRB,Barbados,58.77,62.11,66.14,68.23,69.18,70.33,72.96,73.95,73.86,73.9,74.74,75.24,76.16,76.51,76.33,77.1
BRN,Brunei,51.7,52.86,55.8,61.91,63.04,65.74,67.51,68.52,69.38,71.45,72.52,73.03,73.83,73.98,74.4,74.36
BTN,Bhutan,36.93,39.39,42.22,45.51,48.8,51.03,52.84,56.22,60.33,63.44,65.74,69.05,71,72.29,73.39,74.82
BWA,Botswana,53.67,53.98,54.36,55.08,56.49,59.14,60.98,62.49,61.32,52.5,45.52,49.93,56.98,60.62,62.42,63.08
CAF,Central African Republic,43.64,44.24,45.76,47.28,48.12,48.44,49.17,49.5,48.09,44.69,43.79,45.21,47.81,49.67,51.95,53.6
CAN,Canada,68.5,70.33,71.15,71.9,72.76,73.63,75.21,76.38,77.43,78.12,79.36,80.43,81.64,82.26,81.86,83.15
CHE,Switzerland,69.02,70.3,71.76,72.51,73.34,74.98,75.97,77.22,77.94,78.91,80.3,81.69,82.79,83.58,83.27,84.85
CHL,Chile,50.26,54.83,54.2,58.7,61.99,66.15,69.44,71.95,73.43,75.28,76.93,77.89,78.61,79.63,79.21,81.39
CHN,China,50.99,53.92,27.79,58.47,60.88,62.81,64.41,66.59,68.09,69.75,71.33,72.98,74.92,76.77,77.7,78.81
CIV,Cote d'Ivoire,41.8,43.1,45.61,48.35,50.93,53.98,56.72,57.38,55.74,51.7,51.13,53.46,57.39,61.07,63.94,65.53
CMR,Cameroon,42.39,45.06,27.54,49.55,51.54,53.56,55.39,57.71,58.43,56.64,54.47,54.99,57.7,60.05,62.58,64.52
COD,"Congo, Dem. Rep.",45.34,46.52,47.55,48.26,49.62,50.87,52.13,53.67,54.27,53.64,53.93,56.14,58.78,62.65,64.47,66.25
COG,"Congo, Rep.",42.05,42.5,43.74,45.4,47.23,49.71,52.75,55.58,53.97,52.32,53.05,56.99,60.87,63.52,66.52,66.38
COL,Colombia,54.09,57.49,59.26,61.58,65.93,66.27,68.92,67.21,71.45,72.55,74.23,76.52,77.89,79.69,78.12,81.37
COM,Comoros,44.74,45.77,47.11,49.28,51.36,52.87,54.46,56.55,58.46,59.83,61.41,64.07,65.9,67.54,68.83,70.26
CPV,Cape Verde,56.2,57,56.76,60.19,58.1,62.6,66.82,67.57,69.93,68.74,70.27,71.83,74.41,74.86,72.58,75.05
CRI,Costa Rica,57.53,61.93,65.35,65.49,67.04,71.6,74.68,75.71,76.94,76.53,77.9,79.44,79.51,80.2,79.92,81.33
CUB,Cuba,66.38,67.12,69.27,69.81,70.78,73.15,73.57,74.15,75.01,75.39,77.01,77.68,78.46,78.42,78.62,79.75
CYP,Cyprus,62.2,63.12,64.98,66.52,67.56,68.55,71.3,73.35,75.07,75.52,76.66,77.93,79.52,80.45,80.8,81.77
CZE,Czech Republic,64.25,68.9,70.39,70.32,69.68,70.65,70.5,71.25,71.58,73.38,75.2,76.42,77.85,79,78.79,80.33
DEU,Germany,66.51,68.53,69.41,70.68,70.61,71.67,73.26,74.83,75.66,76.87,78.39,79.64,80.5,80.88,80.79,82.13
DJI,Djibouti,54.65,55.28,56.21,57.3,58.44,60.09,60.84,60.59,60.57,60.49,60.37,61.39,63.24,65.28,66.41,68.33
DMA,Dominica,49.34,55.06,60.22,64.41,67.15,69.87,71.82,71.38,71.09,71.72,72.09,72.61,72.43,71.54,72.41,73.26
DNK,Denmark,70.66,72.1,72.51,72.66,73.57,74.24,74.39,74.82,75.23,75.6,77.16,78.34,79.52,80.99,81.24,82.02
DOM,Dominican Republic,56.21,60.36,61.92,61.62,64.88,67.18,69.25,70.24,71.97,73.71,73.66,72.56,73.5,72,72.5,74.35
DZA,Algeria,55.12,53.07,52.38,56.8,56.23,56.87,58.73,64.7,67.48,69.04,70.96,72.94,74.48,75.44,74.19,77.47
ECU,Ecuador,50.27,53.94,56.1,59.75,61.35,64.09,67.01,69.88,71.95,73.63,74.46,73.61,74.27,75.88,71.29,77.51
EGY,Egypt,41.25,43.8,46.87,50.67,51.25,54.43,58.48,60.12,63.92,66.38,68.54,68.78,69.44,69.92,70.6,71.97
ERI,Eritrea,39.79,40.81,42.12,38.94,40.89,40.66,42.72,44.64,46.21,53.61,54.83,57.7,59.95,62.2,63.64,65.42
ESP,Spain,61.8,66.66,69.45,70.94,72.02,73.59,75.51,76.45,76.96,78.09,79.47,80.58,82.08,82.78,81.85,83.87
EST,Estonia,66.74,67.68,69.41,70.82,70.46,70.23,69.66,69.82,69.99,68,71.05,73.01,76.25,77.78,77.72,79.01
