geo,name,pop_1950,pop_1955,pop_1960,pop_1965,pop_1970,pop_1975,pop_1980,pop_1985,pop_1990,pop_1995,pop_2000,pop_2005,pop_2010,pop_2015,pop_2020,pop_2025
AFG,Afghanistan,7776176,8326979,9035043,10036008,11290128,12773954,13169311,11426852,12045660,17065836,20130327,24404567,28284089,33831764,39068979,43844111
AGO,Angola,4551869,4832764,5231654,5521981,5852788,6842947,8133872,9779120,11626360,13699778,16194869,19291161,23294825,28157798,33451132,39040039
ALB,Albania,1247851,1418850,1649387,1894312,2181220,2454859,2735416,3026242,3277966,3258567,3166148,3076159,2928722,2898632,2871954,2771508
AND,Andorra,5996,6165,9510,13634,19977,27773,35782,43825,52597,63912,65685,77421,80706,72174,77380,82904
ARE,UAE,74512,101258,131334,167103,286536,542856,1015700,1377911,1898220,2434662,3493575,4664790,6938363,8674633,9448524,11346000
ARG,Argentina,17018036,18716029,20386045,22112629,23878327,25874107,28011596,30336441,32755901,35070020,37213984,39216789,41288694,43477012,45191965,45851378
ARM,Armenia,1382895,1581508,1863705,2183635,2475633,2743660,3107415,3260432,3552128,3307581,3125628,3006351,2931078,2921177,2890892,2952365
ATG,Antigua and Barbuda,45444,50374,55603,59970,64528,63839,64513,64591,63066,68189,74912,79611,85320,89409,91846,94209
AUS,Australia,8176750,9205181,10280813,11357477,12599411,13893989,14721347,15835747,17126298,18095344,19132471,20294490,22141581,23948002,25743791,26974026
AUT,Austria,6936449,6946655,7047274,7270415,7466319,7577830,7548406,7564309,7679624,7950322,8012928,8229204,8365092,8644039,8921405,9113574
AZE,Azerbaijan,3131972,3464086,3982706,4630313,5183825,5669260,6284708,6799814,7231077,7719282,8174785,8597248,9146851,9752850,10181730,10397713
BDI,Burundi,2254938,2504649,2764258,3141367,3530432,3796612,4383706,5034042,5587052,6066316,6470194,7587299,9376444,11047580,12617036,14390003
BEL,Belgium,8617441,8835493,9102171,9399858,9630504,9748476,9833093,9880337,9960968,10137265,10251717,10478886,10936626,11275335,11540107,11758603
BEN,Benin,2250476,2353646,2517286,2757936,3065057,3445407,3925251,4538012,5281479,6226773,7221619,8426144,9797484,11360681,13070169,14814460
BFA,Burkina Faso,4213152,4469053,4778621,5152833,5610304,6147569,6947900,7999935,9159356,10386722,11925546,13932123,16176498,18777487,21478690,24074580
BGD,Bangladesh,41206856,45767684,51828660,59902519,69058894,77854351,88016432,100253825,111633717,122600370,134544304,144715786,152201981,159383179,166298024,175686899
BGR,Bulgaria,7248511,7533654,7862926,8202416,8490825,8723148,8859537,8958854,8822365,8357574,8000520,7695050,7437599,7177517,6933652,6714560
BHR,Bahrain,117263,137070,165477,200866,224809,283243,358978,430358,514797,593222,669581,932604,1213244,1369650,1483077,1643332
BHS,Bahamas,83487,93922,116317,147952,184982,209886,232526,253154,275945,301461,323835,343894,367478,385346,395863,403033
BIH,Bosnia and Herzegovina,2690410,2952173,3281381,3562834,3773247,3965743,4148426,4330364,4448652,3715564,4159771,4096493,3811472,3518541,3299349,3140095
BLR,Belarus,7127595,7560676,8207998,8679929,9014897,9324281,9603171,9944186,10186261,10197463,9991313,9667838,9490752,9487293,9350944,8997603
BLZ,Belize,69073,79856,91318,104675,120736,130387,145062,163796,183076,204146,240799,279731,320245,356333,390812,422924
BOL,Bolivia,3089969,3358004,3702323,4109796,4590010,5137539,5758900,6416185,7130142,7874676,8606326,9360754,10182345,11014705,11816299,12581843
BRA,Brazil,53408551,62101388,72388126,83817583,95375651,107619565,121207461,135515595,149143223,161735073,174018282,184688101,193701929,201675532,208660842,212812405
BRB,Barbados,209917,223290,230893,242417,249387,251175,251524,255820,258582,262039,262063,268706,275243,278990,281698,282623
BRN,Brunei,48297,65210,88347,110838,135138,158070,186111,218919,255292,291195,326424,358916,392332,422212,447404,466330
BTN,Bhutan,169982,194748,224084,261200,308528,365791,433404,508392,589287,547989,596863,661865,701632,740618,770006,796682
BWA,Botswana,413697,463926,516165,574664,590334,720380,937485,1121945,1305696,1498836,1677382,1839877,2033111,2203273,2365894,2562122
CAF,Central African Republic,1438057,1559363,1702346,1877854,2097505,2313916,2450535,2600932,2871910,3348052,3833416,4288810,4492995,4629320,5026628,5513282
CAN,Canada,13741747,15728274,17898790,19685518,21440022,23148986,24533776,25927465,27789443,29459131,30891803,32440173,34196899,35962234,38171902,40126723
CHE,Switzerland,4692641,5002112,5327780,5856419,6180922,6338600,6319846,6470957,6713173,7040477,7184007,7431823,7825753,8283934,8640582,8967407
CHL,Chile,6628577,7332301,8153350,9012938,9845344,10671559,11508550,12395274,13437176,14527381,15503635,16348778,17181464,18047625,19370624,19859921
CHN,China,544044358,603547007,654802069,723415733,823308967,916116793,983163542,1059807820,1153582724,1220133927,1269581175,1310027136,1351561514,1396134174,1426106093,1416096094
CIV,Cote d'Ivoire,2735180,3136628,3673666,4442377,5411567,6776297,8220714,10040483,12189778,14855565,17699004,20068458,22488065,25246342,28915449,32711547
CMR,Cameroon,4330084,4700257,5159057,5704686,6449793,7397120,8512219,9761730,11331821,13058516,14912631,17074594,19668066,22763414,26210558,29879337
COD,"Congo, Dem. Rep.",12294287,13630351,15264846,17427802,20137436,23021101,26711099,31264816,36684063,44433704,50507442,58775724,68563038,81035531,95989998,112832473
COG,"Congo, Rep.",835261,934432,1056732,1207880,1397638,1627032,1828985,2059311,2380560,2749461,3151345,3696393,4462290,5097581,5752791,6484437
COL,Colombia,11766988,13473060,15606209,18169050,20811782,23344644,26104498,29268470,32440069,35804662,39089934,42128977,44777319,46969940,50629997,53425635
COM,Comoros,161938,179587,197700,214967,244185,287692,337721,388352,444596,490586,536080,592677,654836,726682,802163,882847
