geo,name,urban_pct_1960,urban_pct_1965,urban_pct_1970,urban_pct_1975,urban_pct_1980,urban_pct_1985,urban_pct_1990,urban_pct_1995,urban_pct_2000,urban_pct_2005,urban_pct_2010,urban_pct_2015,urban_pct_2020
AFG,Afghanistan,8.401,9.904,11.643,13.641,15.995,18.997,21.177,21.624,22.078,22.703,23.737,24.803,26.026
AGO,Angola,10.435,12.504,14.957,19.128,24.298,30.338,37.144,44.169,50.087,56,59.783,63.446,66.825
ALB,Albania,30.705,31.23,31.74,32.712,33.762,35.083,36.428,38.911,41.741,46.731,52.163,57.434,62.112
AND,Andorra,58.45,70.445,80.155,87.252,92.064,95.159,94.712,93.661,92.395,90.285,88.819,88.345,87.916
ARE,UAE,73.5,77.723,79.8,79.8,80.71,79.804,79.051,78.319,80.236,82.262,84.087,85.674,87.048
ARG,Argentina,73.611,76.369,78.88,80.969,82.887,85.038,86.984,88.164,89.142,90.031,90.849,91.503,92.111
ARM,Armenia,51.275,55.622,59.864,63.611,66.05,67.09,67.421,66.057,64.666,63.938,63.44,63.085,63.313
ATG,Antigua and Barbuda,39.656,36.61,33.819,34.217,34.618,35.021,35.426,33.961,32.127,29.218,26.238,25,24.433
AUS,Australia,81.529,83.068,83.999,84.792,85.552,85.582,85.433,84.898,84.235,84.582,85.182,85.701,86.241
AUT,Austria,64.72,65.011,65.258,65.341,65.391,64.305,62.96,61.596,60.213,58.813,57.399,57.715,58.748
AZE,Azerbaijan,52.663,51.164,50.008,51.897,52.777,53.498,53.749,52.206,51.386,52.389,53.406,54.714,56.397
BDI,Burundi,2.077,2.294,2.845,3.525,4.339,5.221,6.271,7.211,8.246,9.375,10.642,12.078,13.708
BEL,Belgium,92.46,93.137,93.843,94.48,95.381,95.93,96.377,96.777,97.129,97.403,97.651,97.876,98.079
BEN,Benin,9.275,12.519,16.691,21.904,27.339,30.796,34.485,36.758,38.333,40.543,43.093,45.695,48.415
BFA,Burkina Faso,4.7,5.198,5.746,6.347,8.805,12.334,13.815,15.131,17.844,21.537,24.633,27.53,30.607
BGD,Bangladesh,5.135,6.211,7.593,9.836,14.851,17.496,19.811,21.693,23.59,26.809,30.462,34.308,38.177
BGR,Bulgaria,37.1,45.755,52.3,57.562,62.1,64.59,66.377,67.782,68.899,70.584,72.302,73.99,75.686
BHR,Bahrain,82.32,82.5,83.775,84.975,86.101,87.155,88.14,88.388,88.372,88.422,88.634,88.999,89.506
BHS,Bahamas,59.712,63.343,66.764,70.017,73.102,76.674,79.838,80.961,82.007,82.218,82.427,82.746,83.245
BIH,Bosnia and Herzegovina,19.04,22.817,27.201,31.288,35.543,37.589,39.249,40.817,42.384,43.965,45.558,47.173,49.02
BLR,Belarus,32.401,38.127,44.01,50.614,56.498,61.833,65.981,67.926,69.973,72.354,74.672,77.181,79.483
BLZ,Belize,54.028,52.481,50.963,50.171,49.374,48.419,47.465,46.425,45.398,45.313,45.228,45.406,46.025
BOL,Bolivia,36.762,38.257,39.776,41.314,45.451,50.519,55.577,59.15,61.787,64.17,66.43,68.393,70.123
BRA,Brazil,46.139,51.037,55.909,60.789,65.468,69.862,73.922,77.61,81.192,82.834,84.335,85.77,87.073
BRB,Barbados,36.777,37.141,37.55,38.855,40.102,38.736,37.37,35.566,33.827,32.841,31.87,31.249,31.191
BRN,Brunei,43.401,52.625,61.675,64.193,64.949,65.697,66.438,68.644,71.164,73.163,74.961,76.663,78.25
BTN,Bhutan,3.596,4.687,6.089,7.876,10.132,12.941,16.388,20.537,25.418,30.965,34.793,38.678,42.316
BWA,Botswana,3.06,3.839,7.834,11.884,16.479,26.724,41.933,48.981,53.219,55.944,62.412,67.155,70.877
CAF,Central African Republic,20.1,23.519,27.492,31.971,33.874,35.532,36.825,37.231,37.639,38.069,38.904,40.277,42.198
CAN,Canada,69.061,72.892,75.654,75.611,75.663,76.354,76.582,77.675,79.478,80.122,80.937,81.259,81.562
CHE,Switzerland,70.924,72.417,73.843,74.208,74.477,74.227,73.926,73.654,73.383,73.478,73.607,73.718,73.915
CHL,Chile,67.836,71.696,75.227,78.386,81.243,82.624,83.271,84.545,86.073,86.783,87.074,87.36,87.727
CHN,China,16.203,18.086,17.4,17.4,19.358,22.874,26.442,30.961,35.877,42.522,49.226,55.5,61.428
